CP001733.1,NC_015183.1,NC_018679.1,NC_017196.2,AAJM01,NC_008542.1,NC_002696.2,ATLH01,NZ_CP009976.1,ATLG01,NZ_CP009887.1,NC_002179.2,CP000312.1,NC_003910.7,NC_014230.1,AJKU01,CP002491.1,NC_012971.2,AE014075.1,NZ_CP009789.1,NC_015948.1,AFAO01,NZ_AP012544.1,NC_008054.1,NC_009004.1,NZ_CP009494.1,AZJX01,AZKB01,NC_004547.2,NC_007205.1,NC_005072.1,NC_007577.1,NC_008817.1,NC_007335.2,NC_005042.1,NC_008820.1,NC_005071.1,NC_008819.1,NC_017731.1,ASWV01,AZUG01,NC_012660.1,ANJD01,NC_014010.1,NC_008380.1,ATYQ01,NC_003911.12,NC_016810.1,NC_003197.1,NC_016856.1,NC_022569.1,NC_020528.1,NC_007712.1,NC_007795.1,CP000410.1,NC_003098.1,CP002888.1,NC_003888.3,JPOY01,NC_021058.1,NC_002754.1,ADXL01,NZ_CP006882.1,NC_009481.1,AAOK01,NC_005070.1,CP003184.1,NC_005835.1,NC_006461.1,AAZW01,NZ_CP009840.1
JX163858,-1.42499,-1.31813,-1.43906,-1.4283,-1.48807,-1.32091,-1.2714,-1.48561,-1.48722,-1.4878,-1.4864,-1.43066,-1.45942,-1.48193,-1.46718,-1.35342,-1.46113,-1.39596,-1.39605,-1.39533,-1.32961,-1.44607,-1.41491,-1.39176,-1.45875,-1.29586,-1.43275,-1.43332,-1.39109,-1.42954,-1.43906,-1.44001,-1.43939,-1.44338,-1.4403,-1.39542,-1.39569,-1.44354,-1.45256,-1.29061,-1.29069,-1.31446,-1.32852,-1.40432,-1.29872,-1.29844,-1.30826,-1.37647,-1.37671,-1.37697,-1.37692,-1.29507,-1.35803,-1.46348,-1.44508,-1.44491,-1.44786,-1.29498,-1.33059,-1.45849,-1.47005,-1.33826,-1.34355,-1.34366,-1.35314,-1.34502,-1.46289,-1.37229,-1.37216,-1.45448,-1.42079
KC821633,-1.38088,-1.46491,-1.37028,-1.36899,-1.33129,-1.49074,-1.47712,-1.32607,-1.32593,-1.32678,-1.32489,-1.3668,-1.34542,-1.34885,-1.33537,-1.43689,-1.34831,-1.41048,-1.40598,-1.40984,-1.46402,-1.38258,-1.40483,-1.40244,-1.35062,-1.50041,-1.36439,-1.36298,-1.40663,-1.34479,-1.34198,-1.34402,-1.34306,-1.34525,-1.34764,-1.39994,-1.40705,-1.34575,-1.36016,-1.48593,-1.48696,-1.47525,-1.46721,-1.40414,-1.48094,-1.47999,-1.4797,-1.40979,-1.41047,-1.41041,-1.40983,-1.48398,-1.41706,-1.34116,-1.35967,-1.35983,-1.36197,-1.50056,-1.46423,-1.3491,-1.35179,-1.4519,-1.43967,-1.44344,-1.43499,-1.43632,-1.34482,-1.44706,-1.44731,-1.37989,-1.39418
KC821625,-1.36939,-1.45891,-1.36461,-1.35136,-1.31174,-1.48434,-1.47652,-1.31576,-1.31702,-1.31747,-1.31584,-1.35381,-1.32567,-1.3293,-1.3241,-1.43206,-1.32732,-1.40013,-1.3962,-1.39874,-1.46409,-1.37337,-1.38725,-1.39203,-1.32462,-1.497,-1.33935,-1.33743,-1.39606,-1.31588,-1.3118,-1.31221,-1.31142,-1.3169,-1.32133,-1.38306,-1.39071,-1.31608,-1.34105,-1.47901,-1.48125,-1.46804,-1.45884,-1.39006,-1.47307,-1.47094,-1.47821,-1.40174,-1.40235,-1.40215,-1.40151,-1.48013,-1.4103,-1.31621,-1.33948,-1.33964,-1.34373,-1.49409,-1.46322,-1.33338,-1.33672,-1.44932,-1.43259,-1.43775,-1.4231,-1.42534,-1.3251,-1.44274,-1.44216,-1.36549,-1.38221
KC821628,-1.37207,-1.46467,-1.3628,-1.38075,-1.35101,-1.49055,-1.47085,-1.34549,-1.34504,-1.34483,-1.34653,-1.38147,-1.38051,-1.34881,-1.35337,-1.43339,-1.36322,-1.40749,-1.40503,-1.40498,-1.46387,-1.37959,-1.40168,-1.41475,-1.36447,-1.49608,-1.37421,-1.37091,-1.40129,-1.36467,-1.36755,-1.36364,-1.36736,-1.36764,-1.36557,-1.40602,-1.41026,-1.36538,-1.35234,-1.48568,-1.48954,-1.47249,-1.46329,-1.40201,-1.48264,-1.48689,-1.48054,-1.40981,-1.41057,-1.41032,-1.41149,-1.49133,-1.41311,-1.35725,-1.37637,-1.37634,-1.3731,-1.49615,-1.45717,-1.36635,-1.37034,-1.45307,-1.43656,-1.44207,-1.43862,-1.43792,-1.36248,-1.44772,-1.44679,-1.38486,-1.38851
KC821620,-1.38179,-1.46492,-1.37033,-1.36943,-1.33345,-1.4924,-1.47824,-1.32675,-1.32669,-1.32708,-1.32629,-1.36639,-1.34578,-1.34891,-1.33604,-1.43701,-1.3491,-1.41118,-1.40705,-1.41042,-1.46479,-1.38203,-1.40498,-1.40257,-1.35191,-1.49959,-1.36506,-1.36361,-1.40715,-1.34613,-1.3421,-1.34395,-1.34377,-1.34548,-1.34901,-1.40098,-1.40777,-1.34549,-1.36028,-1.48569,-1.48743,-1.4756,-1.46789,-1.40516,-1.48081,-1.48003,-1.48047,-1.41063,-1.41114,-1.41111,-1.41063,-1.48578,-1.41783,-1.34295,-1.36007,-1.3602,-1.36381,-1.50072,-1.46529,-1.34948,-1.35112,-1.45251,-1.43994,-1.44425,-1.43469,-1.43447,-1.34466,-1.44695,-1.44725,-1.38103,-1.39554
KC821619,-1.38972,-1.45846,-1.38682,-1.37474,-1.36401,-1.49529,-1.478,-1.35599,-1.35527,-1.35572,-1.35456,-1.37652,-1.37086,-1.36905,-1.36587,-1.43465,-1.37061,-1.41351,-1.41018,-1.41212,-1.46341,-1.38517,-1.40647,-1.40906,-1.36741,-1.50133,-1.3738,-1.37142,-1.40901,-1.36181,-1.35797,-1.35869,-1.35739,-1.35743,-1.36056,-1.39398,-1.40146,-1.35701,-1.37051,-1.48716,-1.48875,-1.46843,-1.45903,-1.40039,-1.47267,-1.47217,-1.47414,-1.40904,-1.40984,-1.41002,-1.40884,-1.47934,-1.41481,-1.36726,-1.37054,-1.37059,-1.37201,-1.50581,-1.45917,-1.36516,-1.36977,-1.44781,-1.43394,-1.43753,-1.42623,-1.42865,-1.35487,-1.44846,-1.44909,-1.39417,-1.39438
KC821627,-1.38986,-1.4585,-1.38689,-1.37498,-1.36427,-1.49523,-1.47803,-1.35619,-1.35547,-1.35594,-1.35484,-1.37659,-1.37123,-1.36914,-1.36632,-1.43432,-1.37071,-1.41355,-1.41036,-1.41214,-1.46367,-1.38485,-1.40666,-1.40928,-1.36769,-1.5014,-1.37391,-1.37155,-1.40907,-1.36186,-1.35798,-1.35884,-1.35727,-1.35755,-1.36059,-1.39385,-1.40114,-1.35718,-1.3706,-1.48716,-1.48875,-1.46815,-1.45896,-1.39994,-1.47268,-1.47186,-1.47391,-1.40908,-1.40987,-1.41004,-1.40895,-1.47942,-1.41469,-1.36746,-1.3708,-1.37084,-1.37194,-1.50577,-1.45903,-1.36553,-1.37012,-1.44794,-1.4339,-1.43758,-1.42637,-1.42848,-1.35492,-1.44887,-1.44935,-1.39425,-1.39466
KC821632,-1.39334,-1.47623,-1.37788,-1.37831,-1.33253,-1.49776,-1.47879,-1.32657,-1.32625,-1.32622,-1.32604,-1.3622,-1.32555,-1.35106,-1.32943,-1.44395,-1.35471,-1.42032,-1.41729,-1.41979,-1.465,-1.38629,-1.4148,-1.4064,-1.35421,-1.49881,-1.37256,-1.37064,-1.41677,-1.34092,-1.33892,-1.33908,-1.33871,-1.34452,-1.34461,-1.40343,-1.41074,-1.34391,-1.36537,-1.48968,-1.48985,-1.4812,-1.4771,-1.41447,-1.49061,-1.48988,-1.48249,-1.41905,-1.41971,-1.41961,-1.41895,-1.49374,-1.4275,-1.34441,-1.35828,-1.35841,-1.36164,-1.50037,-1.46972,-1.33813,-1.34236,-1.45289,-1.44037,-1.44772,-1.44135,-1.43801,-1.34146,-1.44746,-1.44782,-1.38543,-1.4024
KC821629,-1.38136,-1.46097,-1.3651,-1.36781,-1.33589,-1.49097,-1.47489,-1.33301,-1.33374,-1.33367,-1.33379,-1.36683,-1.34271,-1.34217,-1.3414,-1.43158,-1.34706,-1.40816,-1.40375,-1.40754,-1.46348,-1.38186,-1.39789,-1.3966,-1.34641,-1.49779,-1.36055,-1.35877,-1.40378,-1.34097,-1.34286,-1.34155,-1.34149,-1.34211,-1.34506,-1.39196,-1.40049,-1.34176,-1.35901,-1.48195,-1.48379,-1.4677,-1.46015,-1.40396,-1.47807,-1.47733,-1.47651,-1.40724,-1.40838,-1.40812,-1.40723,-1.48234,-1.41541,-1.34068,-1.35716,-1.35727,-1.35684,-1.49913,-1.46023,-1.34818,-1.352,-1.44949,-1.43525,-1.44,-1.43086,-1.43127,-1.34696,-1.4458,-1.44509,-1.37256,-1.39456
KC821614,-1.41166,-1.47318,-1.39276,-1.40295,-1.37339,-1.50386,-1.48114,-1.36786,-1.36779,-1.36826,-1.36785,-1.38372,-1.38183,-1.38596,-1.37241,-1.45331,-1.39097,-1.43488,-1.43278,-1.43475,-1.46505,-1.4065,-1.42806,-1.42139,-1.39086,-1.50501,-1.39932,-1.39769,-1.42864,-1.38084,-1.37793,-1.37831,-1.37875,-1.38046,-1.37954,-1.41464,-1.41723,-1.37918,-1.39271,-1.49539,-1.49678,-1.48125,-1.47537,-1.42603,-1.48798,-1.48707,-1.48391,-1.43526,-1.43597,-1.43592,-1.43557,-1.48891,-1.43757,-1.38509,-1.38445,-1.38448,-1.38555,-1.51397,-1.46492,-1.369,-1.37404,-1.45602,-1.44279,-1.44924,-1.44475,-1.44406,-1.37712,-1.45285,-1.45336,-1.40123,-1.42021
AE002163,-1.40735,-1.44699,-1.39453,-1.39525,-1.38289,-1.48965,-1.47835,-1.37959,-1.38155,-1.3798,-1.37789,-1.36939,-1.41154,-1.39625,-1.38087,-1.43428,-1.38551,-1.4138,-1.41607,-1.41291,-1.45505,-1.40027,-1.41254,-1.41565,-1.38991,-1.50048,-1.3934,-1.39291,-1.41429,-1.39507,-1.3883,-1.38407,-1.38479,-1.38318,-1.38075,-1.40468,-1.4035,-1.38006,-1.38971,-1.48269,-1.48637,-1.45175,-1.45028,-1.41728,-1.45843,-1.45902,-1.47357,-1.41568,-1.41788,-1.41689,-1.41634,-1.4678,-1.42813,-1.39769,-1.38447,-1.38477,-1.38532,-1.52165,-1.45613,-1.3914,-1.39576,-1.4497,-1.43586,-1.43913,-1.4267,-1.43616,-1.38535,-1.46098,-1.46264,-1.39816,-1.41112
CP000315,-1.36594,-1.46923,-1.35915,-1.34978,-1.28638,-1.48706,-1.47144,-1.28822,-1.28796,-1.28802,-1.28927,-1.34281,-1.23482,-1.31723,-1.29223,-1.43006,-1.31735,-1.40242,-1.39666,-1.40152,-1.45977,-1.36286,-1.39782,-1.38689,-1.31173,-1.4909,-1.333,-1.33288,-1.39846,-1.29554,-1.29339,-1.29609,-1.29364,-1.30414,-1.30905,-1.38608,-1.39885,-1.30278,-1.33561,-1.4776,-1.47822,-1.47496,-1.47395,-1.39921,-1.48754,-1.48591,-1.48207,-1.39992,-1.40036,-1.4003,-1.39968,-1.49181,-1.40755,-1.29618,-1.33239,-1.33251,-1.33684,-1.48522,-1.46998,-1.30494,-1.30733,-1.44573,-1.43374,-1.44164,-1.43539,-1.42781,-1.30235,-1.4404,-1.43997,-1.36977,-1.38035
HQ317390,-1.39661,-1.46911,-1.37465,-1.39109,-1.35921,-1.4998,-1.48104,-1.35836,-1.35829,-1.35854,-1.35822,-1.38662,-1.37825,-1.35341,-1.3631,-1.44411,-1.37118,-1.41563,-1.41262,-1.41446,-1.4663,-1.4015,-1.40594,-1.41415,-1.37356,-1.50432,-1.38558,-1.38404,-1.41406,-1.36919,-1.36941,-1.37015,-1.37035,-1.37007,-1.36758,-1.40359,-1.40855,-1.36911,-1.36655,-1.49365,-1.4941,-1.47356,-1.46431,-1.40244,-1.48431,-1.48237,-1.47836,-1.41839,-1.41892,-1.41875,-1.41831,-1.48695,-1.42489,-1.35651,-1.37505,-1.37515,-1.36915,-1.51078,-1.46043,-1.37026,-1.37514,-1.45567,-1.44047,-1.44552,-1.43973,-1.4407,-1.36656,-1.45132,-1.45104,-1.3793,-1.39827
JQ867099,-1.37932,-1.44022,-1.36201,-1.38227,-1.37807,-1.48089,-1.46655,-1.37154,-1.37237,-1.37255,-1.3713,-1.39546,-1.40874,-1.36822,-1.37538,-1.41039,-1.38093,-1.3917,-1.38953,-1.39118,-1.45561,-1.39363,-1.4014,-1.40382,-1.38813,-1.48706,-1.38911,-1.38621,-1.39027,-1.38864,-1.38937,-1.39203,-1.39121,-1.39038,-1.38789,-1.40473,-1.40774,-1.3898,-1.37346,-1.47471,-1.47491,-1.44219,-1.43371,-1.39758,-1.45854,-1.45639,-1.45954,-1.39057,-1.39068,-1.39096,-1.39042,-1.46397,-1.39681,-1.38837,-1.39213,-1.39228,-1.39389,-1.50316,-1.43564,-1.39205,-1.39581,-1.44422,-1.43022,-1.43335,-1.42979,-1.43183,-1.37608,-1.45049,-1.44967,-1.38599,-1.39043
KC688701,-1.38581,-1.44462,-1.3864,-1.38821,-1.37694,-1.48248,-1.47103,-1.37513,-1.37581,-1.3758,-1.37527,-1.38985,-1.40709,-1.38011,-1.38252,-1.42875,-1.37323,-1.40505,-1.40179,-1.40462,-1.44635,-1.40214,-1.40604,-1.41327,-1.37877,-1.49006,-1.37883,-1.37548,-1.40278,-1.38166,-1.3803,-1.38226,-1.38075,-1.38155,-1.38854,-1.4108,-1.41397,-1.38104,-1.37986,-1.47836,-1.47829,-1.45607,-1.44776,-1.40561,-1.46424,-1.46336,-1.46522,-1.40397,-1.40432,-1.40421,-1.40391,-1.46588,-1.41194,-1.38044,-1.38736,-1.38753,-1.38776,-1.50405,-1.44882,-1.38653,-1.39368,-1.45026,-1.43663,-1.43842,-1.43223,-1.43441,-1.37987,-1.44959,-1.45082,-1.39679,-1.39493
KC107834,-1.41937,-1.39388,-1.40823,-1.4167,-1.45941,-1.42932,-1.41925,-1.45748,-1.45895,-1.45985,-1.45795,-1.4205,-1.46426,-1.44254,-1.45463,-1.38617,-1.43929,-1.38185,-1.38124,-1.38188,-1.3999,-1.43732,-1.41375,-1.40767,-1.44155,-1.42054,-1.42967,-1.42885,-1.38198,-1.43154,-1.43683,-1.43811,-1.43711,-1.43493,-1.43088,-1.40076,-1.39908,-1.43532,-1.42168,-1.40849,-1.41032,-1.3841,-1.38347,-1.4098,-1.40533,-1.40474,-1.4156,-1.38308,-1.38327,-1.38306,-1.38307,-1.40466,-1.38967,-1.44982,-1.42582,-1.42585,-1.42439,-1.4422,-1.40267,-1.44731,-1.45496,-1.40083,-1.39069,-1.39459,-1.39368,-1.39429,-1.44142,-1.43816,-1.43788,-1.4141,-1.40214
CP002495,-1.36543,-1.45666,-1.36438,-1.35602,-1.32075,-1.48496,-1.47484,-1.32689,-1.32794,-1.32703,-1.32713,-1.36414,-1.34501,-1.339,-1.34061,-1.42747,-1.2935,-1.39942,-1.39475,-1.39832,-1.45768,-1.37583,-1.39197,-1.39783,-1.33777,-1.49485,-1.35252,-1.34834,-1.39395,-1.33829,-1.3354,-1.33599,-1.33634,-1.33868,-1.34357,-1.39614,-1.4013,-1.33821,-1.34806,-1.47957,-1.48003,-1.46401,-1.45618,-1.39397,-1.47393,-1.47293,-1.47425,-1.39785,-1.39799,-1.39758,-1.39699,-1.47962,-1.40517,-1.32723,-1.35331,-1.35348,-1.3578,-1.49671,-1.45993,-1.35109,-1.35433,-1.45053,-1.43782,-1.44121,-1.42952,-1.43005,-1.33983,-1.44378,-1.44257,-1.37494,-1.38187
KC801932,-1.39356,-1.4262,-1.38494,-1.38924,-1.39793,-1.46838,-1.46466,-1.40611,-1.40695,-1.40683,-1.40567,-1.40176,-1.43848,-1.39639,-1.41421,-1.41054,-1.39386,-1.38394,-1.38116,-1.38354,-1.44237,-1.41598,-1.39682,-1.41387,-1.40249,-1.48113,-1.395,-1.39452,-1.38482,-1.40872,-1.41054,-1.41018,-1.41052,-1.40587,-1.40532,-1.40506,-1.40702,-1.40547,-1.38453,-1.47047,-1.47059,-1.4363,-1.4253,-1.39381,-1.44285,-1.44244,-1.44976,-1.38834,-1.38897,-1.38891,-1.38848,-1.44869,-1.40497,-1.40046,-1.39832,-1.39832,-1.39789,-1.50589,-1.42499,-1.41357,-1.42047,-1.43979,-1.42443,-1.42537,-1.41981,-1.4245,-1.4047,-1.45238,-1.45203,-1.38699,-1.39185
EU078592,-1.39805,-1.39263,-1.39448,-1.39324,-1.43707,-1.43781,-1.43444,-1.43644,-1.43832,-1.43796,-1.43595,-1.41544,-1.45463,-1.42232,-1.43858,-1.3767,-1.41968,-1.32762,-1.35078,-1.36112,-1.41397,-1.4262,-1.39808,-1.40947,-1.42602,-1.43862,-1.41156,-1.41079,-1.36704,-1.42219,-1.42576,-1.42547,-1.42511,-1.42195,-1.42134,-1.3967,-1.3979,-1.42176,-1.40146,-1.42804,-1.43051,-1.39712,-1.38661,-1.39064,-1.40741,-1.40607,-1.41496,-1.3659,-1.36589,-1.36584,-1.36575,-1.41,-1.3775,-1.43013,-1.41879,-1.41878,-1.42059,-1.46762,-1.39996,-1.43631,-1.44406,-1.4113,-1.39702,-1.39571,-1.39493,-1.39722,-1.42657,-1.44508,-1.44558,-1.40624,-1.38263
